,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,-1.36,0.44,-0.35,0.88,1.47,1549580400,0.0,6.715,168,2.58
1,-0.81,0.19,2.0,0.92,3.12,1549584000,0.0,10.003,180,4.6
2,3.22,0.75,0.83,0.84,3.22,1549587600,0.0,10.003,191,1.28
3,0.73,0.9,0.83,0.85,3.05,1549591200,0.0,10.003,191,2.36
4,0.58,0.9,0.83,0.85,3.05,1549594800,0.0,10.003,176,2.51
5,1.75,0.9,0.83,0.85,3.05,1549598400,0.0,10.003,191,1.49
6,1.42,1.0,0.83,0.8,4.05,1549605600,0.0,10.003,191,2.93
7,2.24,1.0,2.41,0.82,5.22,1549609200,0.0,10.003,203,3.81
8,1.24,0.9,1.82,0.82,4.64,1549612800,0.0,10.003,191,4.31
9,1.3,0.9,1.82,0.82,4.64,1549616400,1.0,10.003,175,4.22
10,2.14,0.9,2.41,0.8,5.64,1549620000,1.0,10.003,185,4.97
11,3.53,0.9,2.41,0.74,6.63,1549623600,1.0,10.003,185,4.68
12,4.41,0.9,2.41,0.7,7.64,1549627200,1.0,10.003,195,5.55
13,5.46,0.9,2.41,0.67,8.23,1549630800,1.0,10.003,198,4.79
14,5.78,0.9,2.83,0.67,8.64,1549634400,1.0,10.003,200,5.26
15,5.86,,2.41,0.65,8.64,1549638000,,10.003,214,5.08
16,5.82,0.9,1.82,0.62,8.64,1549641600,0.0,10.003,200,5.18
17,5.71,0.9,1.82,0.62,8.64,1549645200,0.0,10.003,191,5.45
18,4.73,0.75,1.82,0.67,7.64,1549648800,0.0,10.003,190,4.77
19,5.09,0.9,1.82,0.67,7.64,1549656000,0.0,10.003,190,4.01
20,4.09,0.9,1.41,0.67,7.22,1549659600,0.0,10.003,190,5.06
21,3.19,0.66,1.41,0.69,6.63,1549663200,0.0,10.003,192,5.45
