,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,27.38,0.0,17.0,0.55,26.64,1561932000,0,10.003,328,,3.6
1,25.8,0.33,17.0,0.59,25.64,1561935600,0,10.003,283,,2.16
2,25.32,0.75,16.41,0.58,25.22,1561939200,0,10.003,311,,2.37
3,24.2,0.33,17.0,0.65,24.05,1561942800,0,10.003,309,,2.93
4,22.66,0.66,17.83,0.75,22.39,1561946400,0,10.003,260,,1.08
5,22.02,0.33,17.24,0.75,21.82,1561950000,0,10.003,240,,0.87
6,22.33,0.52,16.41,0.7,22.23,1561953600,0,10.003,278,,2.3
7,22.69,0.19,16.0,0.66,22.64,1561957200,0,10.003,304,,2.16
8,23.22,0.19,15.0,0.6,23.22,1561960800,1,10.003,346,,4.38
9,23.8,0.19,14.41,0.56,23.8,1561964400,2,10.003,290,,4.77
10,24.81,0.29,13.41,0.49,24.81,1561968000,4,10.003,291,,2.51
11,25.81,0.33,12.82,0.45,25.81,1561971600,5,10.003,300,,4.4
12,27.11,0.19,12.0,0.39,27.11,1561975200,7,10.003,290,,3.6
13,26.81,0.62,10.41,0.36,26.81,1561978800,6,10.003,294,,4.11
14,27.81,0.33,10.99,0.35,27.81,1561982400,7,10.003,330,,3.43
15,28.23,0.19,11.58,0.36,28.23,1561986000,7,10.003,311,10.8,1.9
16,28.23,0.19,11.41,0.35,28.23,1561989600,6,10.003,305,,4.31
17,28.65,0.75,9.99,0.31,28.65,1561993200,3,10.003,331,,5.04
18,28.23,0.44,11.58,0.36,28.23,1561996800,2,10.003,340,,4.22
19,28.23,0.0,10.58,0.33,28.23,1562000400,1,10.003,321,9.8,4.89
20,26.23,0.0,9.99,0.36,26.23,1562004000,0,10.003,335,,5.47
21,24.22,0.19,9.99,0.41,24.22,1562007600,0,10.003,340,11.3,4.22
22,22.64,0.75,9.99,0.45,22.64,1562011200,0,10.003,331,,4.01
23,21.64,0.19,9.99,0.47,21.64,1562014800,0,10.003,330,,4.31
