,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,14.07,0.49,7.86,0.66,partly-cloudy-night,337.8,0.0,0.0,,1033.8,Leicht bewölkt,14.07,1590444000,0,16.093,354,6.05,2.23
1,13.08,0.38,7.76,0.7,partly-cloudy-night,336.2,0.0,0.0,,1034.2,Leicht bewölkt,13.08,1590447600,0,16.093,5,5.28,2.13
2,12.08,0.29,7.55,0.74,clear-night,335.0,0.0072,0.01,rain,1034.2,Klar,12.08,1590451200,0,16.093,10,4.6,1.97
3,11.22,0.2,6.81,0.74,clear-night,335.2,0.0,0.0,,1034.4,Klar,11.22,1590454800,0,16.093,14,4.7,1.88
4,10.0,0.12,6.46,0.79,clear-night,334.4,0.0,0.0,,1034.3,Klar,10.0,1590458400,0,16.093,7,4.04,1.74
5,10.14,0.07,6.49,0.78,clear-night,333.9,0.0,0.0,,1034.0,Klar,10.14,1590462000,0,16.093,3,3.58,1.8
6,10.4,0.02,6.63,0.78,clear-day,333.6,0.0,0.0,,1034.2,Klar,10.4,1590465600,0,16.093,11,3.55,1.9
7,11.17,0.01,7.02,0.76,clear-day,333.5,0.0,0.0,,1034.5,Klar,11.17,1590469200,0,16.093,22,3.73,2.1
8,12.23,0.05,7.51,0.73,clear-day,334.4,0.0,0.0,,1035.0,Klar,12.23,1590472800,1,16.093,29,3.62,2.2
9,13.53,0.29,7.74,0.68,clear-day,335.7,0.0,0.0,,1035.1,Klar,13.53,1590476400,2,16.093,35,3.18,2.27
10,15.08,0.62,8.05,0.63,partly-cloudy-day,337.4,0.0,0.0,,1035.1,Überwiegend bewölkt,15.08,1590480000,3,16.093,37,2.57,2.27
11,16.39,0.84,8.07,0.58,partly-cloudy-day,338.9,0.0076,0.01,rain,1034.9,Überwiegend bewölkt,16.39,1590483600,4,16.093,36,2.23,2.15
12,17.44,0.87,7.74,0.53,partly-cloudy-day,340.0,0.0095,0.01,rain,1034.7,Überwiegend bewölkt,17.44,1590487200,4,16.093,40,2.4,2.4
13,18.51,0.78,7.25,0.48,partly-cloudy-day,340.8,0.01,0.01,rain,1034.5,Überwiegend bewölkt,18.51,1590490800,4,16.093,43,2.72,2.68
14,19.79,0.66,6.1,0.41,partly-cloudy-day,337.3,0.0072,0.01,rain,1034.5,Überwiegend bewölkt,19.79,1590494400,5,16.093,46,3.08,2.79
15,20.36,0.6,4.25,0.35,partly-cloudy-day,337.5,0.0,0.0,,1034.5,Überwiegend bewölkt,20.36,1590498000,5,16.093,50,3.14,2.53
16,20.54,0.51,5.17,0.37,partly-cloudy-day,337.8,0.0,0.0,,1034.0,Leicht bewölkt,20.54,1590501600,4,16.093,53,3.4,2.82
17,19.54,0.44,6.11,0.42,partly-cloudy-day,338.1,0.0,0.0,,1033.7,Leicht bewölkt,19.54,1590505200,3,16.093,53,3.61,2.96
18,19.81,0.39,6.96,0.43,partly-cloudy-day,338.2,0.0,0.0,,1033.6,Leicht bewölkt,19.81,1590508800,2,16.093,57,3.75,2.78
19,19.88,0.36,7.88,0.46,partly-cloudy-day,338.3,0.0,0.0,,1033.6,Leicht bewölkt,19.88,1590512400,1,16.093,60,3.86,2.56
20,19.32,0.32,8.46,0.49,partly-cloudy-day,336.1,0.0,0.0,,1033.7,Leicht bewölkt,19.32,1590516000,0,16.093,61,3.19,2.22
21,18.28,0.35,8.59,0.53,partly-cloudy-day,336.2,0.0,0.0,,1033.9,Leicht bewölkt,18.28,1590519600,0,16.093,58,3.45,1.99
22,16.94,0.4,8.43,0.57,partly-cloudy-night,336.7,0.0,0.0,,1034.3,Leicht bewölkt,16.94,1590523200,0,16.093,54,3.86,1.8
23,15.56,0.43,8.15,0.61,partly-cloudy-night,337.6,0.0,0.0,,1034.6,Leicht bewölkt,15.56,1590526800,0,16.093,50,4.0,1.57
