,apparentTemperature,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,11.33,1.3,0.5,11.33,1555624800,0.0,10.003,41,3.1
1,10.02,2.69,0.6,10.02,1555628400,0.0,10.003,55,4.29
2,7.84,2.69,0.63,9.33,1555632000,0.0,10.003,69,2.79
3,4.95,2.69,0.72,7.33,1555635600,0.0,10.003,30,3.6
4,4.12,2.0,0.77,5.64,1555639200,0.0,10.003,61,2.0
5,5.61,2.0,0.72,6.65,1555642800,0.0,10.003,49,1.69
6,4.89,2.0,0.77,5.64,1555646400,0.0,10.003,51,1.34
7,3.92,1.68,0.77,5.33,1555650000,,10.003,57,1.84
8,6.44,3.39,0.74,7.71,1555653600,,10.003,41,2.09
9,14.71,5.38,0.54,14.71,1555664400,,10.003,46,1.69
10,18.02,5.0,0.42,18.02,1555671600,,10.003,41,2.6
11,19.72,4.32,0.36,19.72,1555675200,,10.003,44,2.76
12,20.03,3.31,0.33,20.03,1555678800,,10.003,99,2.6
13,21.02,2.69,0.3,21.02,1555682400,,10.003,83,3.82
14,20.34,2.69,0.31,20.34,1555686000,,10.003,81,4.16
15,20.34,1.38,0.28,20.34,1555689600,,10.003,90,2.95
16,19.65,2.0,0.31,19.65,1555693200,,10.003,83,3.29
17,17.65,2.31,0.36,17.65,1555696800,,10.003,73,3.1
18,16.33,0.99,0.35,16.33,1555700400,0.0,10.003,66,1.69
19,13.26,0.69,0.42,13.26,1555704000,0.0,10.003,71,1.5
20,12.27,0.37,0.44,12.27,1555707600,0.0,10.003,75,1.5
