,apparentTemperature,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,10.26,0.06,0.49,10.26,1555797600,0.0,10.003,13,,1.69
1,7.58,0.37,0.6,7.58,1555801200,0.0,10.003,71,,0.5
2,5.8,-0.31,0.6,6.96,1555804800,0.0,10.003,356,,1.84
3,5.38,-0.61,0.61,6.26,1555808400,0.0,10.003,5,,1.5
4,4.45,0.69,0.7,5.64,1555812000,0.0,10.003,327,,1.69
5,3.11,-0.31,0.72,4.26,1555815600,0.0,10.003,285,,1.5
6,4.64,-0.61,0.69,4.64,1555819200,0.0,10.003,345,,1.0
7,2.69,-1.32,0.67,4.34,1555822800,,10.003,285,,1.91
8,6.61,1.45,0.65,7.71,1555826400,,10.003,328,,1.91
9,10.41,1.38,0.54,10.41,1555830000,,10.003,30,,2.09
10,13.71,1.68,0.44,13.71,1555833600,,10.003,51,,1.69
11,16.41,0.99,0.35,16.41,1555837200,,10.003,74,,3.25
12,18.72,-0.39,0.28,18.72,1555840800,,10.003,77,,5.36
13,20.03,0.01,0.26,20.03,1555844400,,10.003,71,,6.36
14,20.34,-2.0,0.22,20.34,1555848000,,10.003,71,12.39,6.21
15,21.33,-1.69,0.21,21.33,1555851600,,10.003,71,,6.05
16,21.33,-1.63,0.21,21.33,1555855200,,10.003,76,,5.51
17,21.33,-0.31,0.24,21.33,1555858800,,10.003,79,,4.6
18,21.33,-0.61,0.23,21.33,1555862400,,10.003,81,,4.6
19,20.65,-0.92,0.24,20.65,1555866000,,10.003,83,,3.91
20,17.34,0.01,0.31,17.34,1555869600,,10.003,71,,3.07
21,14.26,-0.61,0.36,14.26,1555873200,0.0,10.003,72,,2.41
22,13.57,-0.92,0.37,13.57,1555876800,0.0,10.003,80,,2.0
23,12.95,-1.32,0.37,12.95,1555880400,0.0,10.003,71,,2.15
