,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-3.96,0.96,-1.99,0.87,snow,300.7,0.266,0.3011,0.27,snow,1017.1,Schneefall,-0.05,1610492400,0,13.325,297,7.25,3.48
1,-4.69,0.83,-3.17,0.84,partly-cloudy-night,303.1,0.1205,0.1222,0.13,snow,1017.8,Überwiegend bewölkt,-0.79,1610496000,0,6.046,293,4.95,3.28
2,-4.67,0.71,-3.76,0.82,fog,305.0,0.0771,0.0757,0.1,snow,1018.5,Nebel,-1.09,1610499600,0,0.884,295,5.46,2.84
3,-4.86,0.82,-4.06,0.82,fog,303.4,0.0926,0.0885,0.11,snow,1019.0,Nebel,-1.37,1610503200,0,0.677,280,6.68,2.7
4,-5.07,0.87,-4.43,0.82,fog,301.0,0.1041,0.0967,0.1,snow,1019.2,Nebel,-1.69,1610506800,0,2.013,275,6.47,2.54
5,-5.42,0.88,-4.74,0.81,cloudy,299.9,0.1394,0.1267,0.1,snow,1019.8,Stark bewölkt,-1.98,1610510400,0,3.235,271,6.32,2.55
6,-6.0,0.85,-4.82,0.82,partly-cloudy-night,300.2,0.1388,0.1243,0.09,snow,1020.5,Überwiegend bewölkt,-2.18,1610514000,0,4.024,270,7.29,2.87
7,-6.82,0.78,-5.49,0.8,partly-cloudy-night,308.0,0.1256,0.1095,0.06,snow,1021.5,Überwiegend bewölkt,-2.54,1610517600,0,6.841,268,8.45,3.28
8,-6.9,0.81,-5.28,0.8,partly-cloudy-night,309.6,0.0866,0.0766,0.05,snow,1021.9,Überwiegend bewölkt,-2.37,1610521200,0,4.469,267,10.12,3.62
9,-6.94,0.85,-5.12,0.8,partly-cloudy-day,312.9,0.0637,0.0573,0.04,snow,1022.1,Überwiegend bewölkt,-2.17,1610524800,0,6.561,268,10.5,3.98
10,-6.86,0.93,-4.88,0.79,cloudy,314.5,0.0728,0.0675,0.06,snow,1022.3,Stark bewölkt,-1.77,1610528400,0,10.479,268,10.74,4.58
11,-6.33,0.93,-4.61,0.77,cloudy,313.6,0.0589,0.0572,0.11,snow,1022.1,Stark bewölkt,-1.18,1610532000,1,10.357,280,10.1,4.89
12,-5.74,0.95,-4.21,0.76,cloudy,311.6,0.0582,0.0599,0.16,snow,1021.7,Stark bewölkt,-0.52,1610535600,1,4.47,251,9.96,5.3
13,-4.96,0.81,-3.99,0.74,partly-cloudy-day,308.9,0.0545,0.0603,0.17,snow,1021.1,Überwiegend bewölkt,0.16,1610539200,1,4.938,271,9.86,5.43
14,-4.06,0.79,-4.03,0.7,partly-cloudy-day,305.5,0.0483,0.0591,0.13,snow,1020.5,Überwiegend bewölkt,0.78,1610542800,1,13.086,270,10.23,5.2
15,-3.88,0.63,-3.8,0.72,partly-cloudy-day,303.3,0.0426,0.0527,0.12,snow,1019.9,Überwiegend bewölkt,0.63,1610546400,0,15.789,269,10.67,4.58
16,-4.86,0.48,-3.87,0.77,partly-cloudy-day,300.8,0.0449,0.05,0.1,snow,1019.5,Leicht bewölkt,-0.26,1610550000,0,15.423,262,11.26,4.38
17,-5.24,0.6,-4.1,0.76,partly-cloudy-night,297.2,0.0406,0.0449,0.06,snow,1019.1,Überwiegend bewölkt,-0.47,1610553600,0,15.942,258,12.44,4.56
18,-5.54,0.82,-4.25,0.76,partly-cloudy-night,293.7,0.0356,0.0393,0.04,snow,1018.7,Überwiegend bewölkt,-0.58,1610557200,0,16.093,257,13.37,4.82
19,-5.46,0.82,-3.52,0.79,partly-cloudy-night,291.1,0.0348,0.0407,0.05,snow,1017.9,Überwiegend bewölkt,-0.33,1610560800,0,16.093,260,14.48,5.23
20,-4.46,0.97,-2.2,0.81,cloudy,287.3,0.0344,0.0523,0.13,snow,1017.2,Stark bewölkt,0.64,1610564400,0,15.243,273,14.33,5.63
21,-3.24,0.99,-1.19,0.83,rain,284.4,,0.1827,0.28,rain,1016.4,Nieselregen möglich,1.36,1610568000,0,6.046,262,13.56,5.04
22,-2.98,1.0,-0.81,0.85,rain,282.7,,0.2178,0.35,rain,1016.2,Nieselregen möglich,1.44,1610571600,0,3.764,268,12.73,4.75
23,-3.05,1.0,-0.85,0.85,rain,281.1,,0.3919,0.4,rain,1015.9,Leichter Regen möglich,1.47,1610575200,0,3.626,233,12.78,4.94
