,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-19.15,0.07,-15.71,0.65,clear-night,373.6,0,0,1033.4,Klar,-10.48,1613170800,0,16.093,88,16.03,6.61
1,-19.57,0.06,-15.94,0.66,clear-night,371.0,0,0,1033.5,Klar,-10.89,1613174400,0,16.093,87,15.99,6.44
2,-19.1,0.06,-15.82,0.66,clear-night,371.2,0,0,1034.1,Klar,-10.78,1613178000,0,16.093,84,15.9,5.95
3,-19.55,0.05,-15.98,0.67,clear-night,372.1,0,0,1033.1,Klar,-11.08,1613181600,0,16.093,87,15.86,6.06
4,-19.94,0.02,-16.23,0.67,clear-night,373.5,0,0,1033.3,Klar,-11.4,1613185200,0,16.093,88,15.78,6.02
5,-20.34,0.01,-16.65,0.67,clear-night,376.8,0,0,1033.8,Klar,-11.79,1613188800,0,16.093,87,15.47,5.89
6,-20.44,0.01,-16.95,0.67,clear-night,379.9,0,0,1034.3,Klar,-11.99,1613192400,0,16.093,86,15.18,5.69
7,-20.37,0.02,-17.28,0.65,clear-night,381.9,0,0,1034.9,Klar,-12.12,1613196000,0,16.093,86,14.43,5.37
8,-20.24,0.03,-16.86,0.67,clear-day,383.5,0,0,1035.0,Klar,-11.93,1613199600,0,16.093,86,14.18,5.51
9,-19.55,0.05,-16.03,0.67,clear-day,386.2,0,0,1035.4,Klar,-11.07,1613203200,0,16.093,88,13.9,6.07
10,-18.73,0.06,-15.54,0.65,clear-day,387.6,0,0,1035.4,Klar,-10.18,1613206800,1,16.093,90,13.66,6.55
11,-17.36,0.08,-14.84,0.63,clear-day,390.7,0,0,1035.6,Klar,-9.02,1613210400,1,16.093,89,13.35,6.74
12,-15.8,0.09,-14.14,0.6,clear-day,396.0,0,0,1035.8,Klar,-7.71,1613214000,1,16.093,87,13.18,6.95
13,-14.98,0.07,-14.45,0.56,clear-day,398.3,0,0,1035.6,Klar,-7.08,1613217600,1,16.093,87,13.21,6.92
14,-14.62,0.05,-14.55,0.54,clear-day,400.5,0,0,1035.4,Klar,-6.86,1613221200,1,16.093,86,13.1,6.78
15,-13.51,0.03,-14.81,0.51,clear-day,402.1,0,0,1035.9,Klar,-6.24,1613224800,1,16.093,86,13.0,6.23
16,-15.45,0.02,-14.1,0.61,clear-day,402.0,0,0,1036.3,Klar,-7.85,1613228400,0,16.093,84,13.12,6.05
17,-16.23,0.01,-14.32,0.63,clear-day,400.8,0,0,1036.8,Klar,-8.61,1613232000,0,16.093,84,13.49,5.77
18,-16.98,0.01,-15.16,0.62,clear-night,388.4,0,0,1037.0,Klar,-9.29,1613235600,0,16.093,86,14.43,5.61
19,-16.15,0.0,-13.99,0.67,clear-night,383.6,0,0,1037.8,Klar,-8.94,1613239200,0,16.093,89,14.07,5.07
20,-15.63,0.0,-13.35,0.69,clear-night,381.7,0,0,1038.3,Klar,-8.6,1613242800,0,16.093,90,14.03,4.95
21,-15.54,0.0,-13.07,0.7,clear-night,380.6,0,0,1038.7,Klar,-8.62,1613246400,0,16.093,92,13.74,4.79
22,-15.54,0.0,-13.15,0.7,clear-night,379.4,0,0,1038.9,Klar,-8.69,1613250000,0,16.093,94,13.37,4.68
23,-15.67,0.0,-13.2,0.71,clear-night,377.9,0,0,1038.8,Klar,-8.81,1613253600,0,16.093,95,13.08,4.66
